page,text,label,summary
1,"Davalı işçi ise davacı işverence işten çıkarıldığını, çıkış esnasında muhasebeci gelecek ve evrakları hazırlayacak diyerek 7-8 saat bekletildiğini, sonra daha önce görmediği bir şahsın gelip bir masa etrafına oturup işten çıkışı ile ilgili belgeleri imzalattıklarını, arabulucunun kendisiyle hiç konuşmadığı gibi kendisine bir soru sormadığını imzalatılan belgeyi okumasına müsaade edilmediğini, bir örneğinin kendisine verilmediğini, bankaya yatan kısım dışındaki bedelin 2 gün sonra elden ödeneceği söylenmesine rağmen ödenmediğini, sözleşmeyi kabul etmediğini beyan etmiştir.",Dava konusu,"İşçi, işten çıkarılmasını, bekletilmesini ve imzalattığı belgenin içeriğini sorgulamaktadır. Ödeme konusunda da şikayet bulunmaktadır."
2,"Mahkemece bu beyan nedeniyle arabuluculuk tutağının kanuna uygun düzenlenmediğinin iddia edildiği, taraflar arasında bu konuda ihtilaf olduğu bu nedenle arabuluculuk icra edilebilirlik şerhinin verilmesinin uygun bulunmadığı gerekçesiyle istemin reddine verilmiştir.",Dava konusu,"Arabuluculuk tutarının kanuna uygun olmadığı gerekçesiyle, arabuluculuk icra edilebilirlik şerhi talebi reddedilmiştir."
2,6325 sayılı Hukuk Uyuşmazlıklarında Arabuluculuk Kanunu’nun 18. maddesine göre; “(1) Arabuluculuk faaliyeti sonunda varılan anlaşmanın kapsamı taraflarca belirlenir; anlaşma belgesi düzenlenmesi hâlinde bu belge taraflar ve arabulucu tarafından imzalanır.,Dava konusu,"6325 sayılı Arabuluculuk Kanunu'nun 18. maddesi, arabuluculuk anlaşmasının taraflarca belirlendiğini belirtir."
2,"(2) Taraflar arabuluculuk faaliyeti sonunda bir anlaşmaya varırlarsa, bu anlaşma belgesinin icra edilebilirliğine ilişkin şerh verilmesini talep edebilirler. Dava açılmadan önce arabuluculuğa başvurulmuşsa, anlaşmanın icra edilebilirliğine ilişkin şerh verilmesi, asıl uyuşmazlık hakkındaki görev ve yetki kurallarına göre belirlenecek olan mahkemeden talep edilebilir. Davanın görülmesi sırasında arabuluculuğa başvurulması durumunda ise anlaşmanın icra edilebilirliğine ilişkin şerh verilmesi, davanın görüldüğü mahkemeden talep edilebilir. Bu şerhi içeren anlaşma, ilam niteliğinde belge sayılır.",Dava konusu,Arabuluculuk sonucu elde edilen anlaşmanın icra edilebilirliğine ilişkin mahkemeden şerh verilmesi talebi hakkında bilgi veriliyor.
2,"(3) İcra edilebilirlik şerhinin verilmesi, çekişmesiz yargı işidir ve buna ilişkin inceleme dosya üzerinden de yapılabilir. Ancak arabuluculuğa elverişli olan aile hukukuna ilişkin uyuşmazlıklarda inceleme duruşmalı olarak yapılır. Bu incelemenin kapsamı anlaşmanın içeriğinin arabuluculuğa ve cebri icraya elverişli olup olmadığı hususlarıyla sınırlıdır. Anlaşma belgesine icra edilebilirlik şerhi verilmesi için mahkemeye yapılacak olan başvuru ile bunun üzerine verilecek kararlara karşı ilgili tarafından istinaf yoluna gidilmesi hâlinde, maktu harç alınır. Taraflar anlaşma belgesini icra edilebilirlik şerhi verdirmeden başka bir resmî işlemde kullanmak isterlerse, damga vergisi de maktu olarak alınır.”",Dava konusu,"Bu metin, icra edilebilirlik şerhi verme süreçlerini, arabuluculuğa elverişli durumlarda duruşmalı incelemeyi ve ilgili harçları açıklamaktadır."
2,Anılan yasal düzenleme karşısında arabuluculuk süreci sonunda düzenlenen anlaşma belgesine icra edilebilirlik şerhi verilip verilmeyeceğine ilişkin inceleme anlaşma içeriğinin arabuluculuğa ve cebri icraya elverişli olup olmadığı hususlarıyla sınırlıdır.,Dava konusu,"Anlaşma belgesinin icra edilebilirliği, arabuluculuk ve cebri icraya elverişliliği hususlarıyla incelenmektedir."
2,"Ancak dosyada mevcut arabulucu nezaretinde düzenlenen anlaşma belgesinin iş sözleşmesinin 03.02.2016 tarihinde sonlanması üzerine aynı gün arabulucu ile birlikte görüşüldüğü ve bir gün sonra 04.02.2016 tarihinde düzenlendiğinin belirtildiği,",Dosya bilgisi,"Anlaşma belgesinin sonlanma ve düzenlenme tarihleri, arabuluculuk nezaretinde belirtiliyor."
2,"Tutanakta içeriğinden arabuluculuğa kimin hangi tarihte başvurduğu, anlaşmanın nerede ve ne şekilde sağlandığı konularının belirtilmediği, ikinci maddesinde kıdem ve ihbar tazminatları toplamından oluşan 11.668,82 TL. ödeme dışında işveren nezdindeki kıdem, ihbar, fazla çalışma, genel tatil hafta tatili, yıllık izin prim, ikramiye, ulusal bayram ve genel tatil ücreti alacakları dahil olmak üzere hiçbir hak ve alacağı kalmadığı kalmış olsa bile bu miktarın dışındaki alacaklardan feragat ettiğini, işvereni her şekilde ibra ettiğini kabul ettiği yönünde ibare bulunduğu anlaşılmaktadır.",Dava konusu,"Arabuluculuğa başvuru detayları bulunmayan, işveren ile borçlu arasındaki tazminat anlaşmasının ödeme şartları ve feragat konuları detaylandırılıyor."
2,"6325 sayılı Arabuluculuk Kanunu’nun 1. maddesinin ikinci fıkrasında “Bu Kanun, yabancılık unsuru taşıyanlar da dâhil olmak üzere, ancak tarafların üzerinde serbestçe tasarruf edebilecekleri iş veya işlemlerden doğan özel hukuk uyuşmazlıklarının çözümlenmesinde uygulanır. Şu kadar ki, aile içi şiddet iddiasını içeren uyuşmazlıklar arabuluculuğa elverişli değildir.” hükmü düzenlenmiştir. Diğer taraftan 6098 sayılı Türk Borçlar Kanunu’nun 420. maddesinin ikinci fıkrasında  “…ibra tarihi itibarıyla sözleşmenin sona ermesinden başlayarak en az bir aylık sürenin geçmiş bulunması, ibra konusu alacağın türünün ve miktarının açıkça belirtilmesi, ödemenin hak tutarına nazaran noksansız ve banka aracılığıyla yapılması şarttır. Bu unsurları taşımayan ibra sözleşmeleri veya ibraname kesin olarak",Dava konusu,6325 sayılı Arabuluculuk Kanunu ve 6098 sayılı Türk Borçlar Kanunu'nun ibra ile ilgili hükümlerine yer verilmiştir.
3,"hükümsüzdür.” düzenlemesine yer verilmiştir. 6098 sayılı TBK.’un bu düzenlemesi emredici niteliktedir. Bu düzenleme nedeni ile işveren ve işçi arasında, işçilik alacakları konusundaki uyuşmazlığa ilişkin  arabuluculuk tutanağının düzenlendiği tarih ve ibra beyanının içeriği dikkate alındığında, tarafların üzerinde serbestçe tasarruf edemeyecekleri bir zamanda  uyuşmazlık konusu olmadan ve işçinin başvurusu bulunmadan ibra niteliğinde arabuluculuk tutanağı düzenlemişlerdir. Alınan bu ibra niteliğindeki tutanak,  tarih ve içeriği itibari ile arabuluculuğa ve niteliği itibari ile de cebri icraya elverişli değildir. Açıklanan nedenlerle dosyada bulunan anlaşma belgesine icra edilebilirlik şerhinin de verilemeyeceği anlaşıldığından, davalının temyiz itirazlarının reddiyle sonucu itibariyle doğru olan yerel mahkeme kararın bu gerekçeyle ONANMASINA, 08.12.2016 günü oybirliği ile karar verildi.",Dava konusu,İşveren ve işçi arasındaki işçilik alacakları uyuşmazlığına ilişkin ibra niteliğinde arabuluculuk tutanağı değerlendiriliyor ve icra edilebilirlik şerhi verilemeyeceği kararla sonuçlanıyor.
